ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
pT-standgo-1,,pT,standgo,*a-ni-,*a-ni-,a + n i,,,76,,^ * a - n i -$,default,**ni-,to be
pT-standgo-2,,pT,standgo,*ni-tia-,*ni-tia-,n i + t i a,,,76,,^ * n i - t i a -$,default,**ni-,leave
pT-standgo-3,,pT,standgo,*neti-,*neti-,n e t i,(?),,76,,^ * n e t i -$,default,**ni-,to stand (upright)
ProPaTa-deliciousasfruits-1,,ProPaTa,deliciousasfruits,**nu(ɨ),**nu,n u,,,77,,^ * * n u $,default,**nu(ɨ),delicious (as fruits)
pP-deliciousasfruits-1,,pP,deliciousasfruits,*noɨ/a,*noɨ/a,n o !ɨa/a,,,77,,^ * n o ɨ/a $,default,**nu(ɨ),"delicious,savory (of fruit,nuts,etc)"
pT-deliciousasfruits-1,,pT,deliciousasfruits,*nui,*nui,n u i,,,77,,^ * n u i $,default,**nu(ɨ),"delicious, as fruit"
ProPaTa-fleshmeat-1,,ProPaTa,fleshmeat,**Nami,**Nami,!N/n a m i,,,78,,^ * * N a m i $,default,**Nami,"flesh,meat"
pP-fleshmeat-1,,pP,fleshmeat,*nami,*nami,n a m i,,,78,,^ * n a m i $,default,**Nami,"flesh,meat"
pT-fleshmeat-1,,pT,fleshmeat,*rami,*rami,r a m i,,,78,,^ * r a m i $,default,**Nami,meat
ProPaTa-demonstrative-2,,ProPaTa,demonstrative,**Nɨ-,**Nɨ-,!N/n ɨ,,,79,,^ * * N ɨ -$,default,**Nɨ-,demonstrative
pT-demonstrative-2,,pT,demonstrative,*rei-,*rei-,r e i,,,79,,^ * r e i -$,default,**Nɨ-,demonstrative
ProPaTa-putintoenter-1,,ProPaTa,putintoenter,"**Ṇu,*Ṇubi-",**Ṇu,d u,,,80,,^ * * Ṇ u $,default,"**Ṇu,*Ṇubi-","put in,to enter"
ProPaTa-putintoenter-2,,ProPaTa,putintoenter,"**Ṇu,*Ṇubi-",*Ṇubi-,d u b i,,,80,,^ * Ṇ u b i -$,default,"**Ṇu,*Ṇubi-","put in,to enter"
pT-putintoenter-1,,pT,putintoenter,*du2-,*du2-,d u,,,80,,^ * d u 2 -$,default,"**Ṇu,*Ṇubi-","deep,within"
pT-putintoenter-2,,pT,putintoenter,*dubi-,*dubi-,d u b i,,,80,,^ * d u b i -$,default,"**Ṇu,*Ṇubi-",to put in
pT-putintoenter-3,,pT,putintoenter,*nubi-,*nubi-,n u b i,,,80,,^ * n u b i -$,default,"**Ṇu,*Ṇubi-",to enter
ProPaTa-augmentativesuffix-1,,ProPaTa,augmentativesuffix,**-pa,**-pa,p a,,,81,,^ **- p a $,default,**-pa,augmentative suffix
pP-augmentativesuffix-1,,pP,augmentativesuffix,*-pa,*-pa,p a,"generally with a reference to animal as opposed to human body parts, and probably no longer productive",,81,,^ *- p a $,default,**-pa,augmentative suffix
pT-augmentativesuffix-1,,pT,augmentativesuffix,*-pa,*-pa,p a,apparently productive,,81,,^ *- p a $,default,**-pa,general augmentative suffix
ProPaTa-rawgreenbitter-1,,ProPaTa,rawgreenbitter,**paṣ…,**paṣ…,p a ʃ,,,82,,^ * * p a ṣ … $,default,**paṣ…,"raw,green,bitter"
